Experiment ID:,3817,
Experimetn Name:,CCA1 OX EXP25 ,

sample,biol. desc.,Exp. Cond,,anal.,date,method,params,data type,data window,attention,period,period err,phase by fit,phase to DW,phase err,amplitude by fit,amplitude err,phase method specific,phase to DW,phase err,amplitude method specific,amplitude err,phase by averaged peaks,phase to DW,phase err,amplitude by averaged peaks,amplitude err,phase by first peak,phase to DW,phase err,amplitude by first peak,amplitude err,GOF,ERR,
734,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,29.0,0.0,9.69,9.69,0.0,518.0,0.0,8.7,8.7,0.0,581.0,0.0,8.7,8.7,0.0,582.0,0.650962,8.7,8.7,0.0,581.0,0.0,0.317822,0.317822,
734,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,29.83,1.29,8.9,8.9,0.0,496.5,0.0,8.75,8.75,0.0,478.3,0.0,9.5,9.5,3.611,564.0,39.35,8.1,8.1,0.0,579.0,0.0,0.509435,0.049523,

735,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,28.05,1.037,9.83,9.83,0.0,61.35,0.0,9.71,9.71,1.267,59.3,11.91,9.22,9.22,2.15,73.47,20.76,8.3,8.3,0.0,73.31,0.0,0.35586,0.200843,
735,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,28.64,0.0,9.08,9.08,0.0,62.13,0.0,8.4,8.4,0.0,72.17,0.0,8.39,8.39,0.061101,72.21,0.06953,8.4,8.4,0.0,72.17,0.0,0.363669,0.363669,
735,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,29.46,1.29,8.43,8.43,0.0,57.06,0.0,8.25,8.25,0.0,55.86,0.0,7.97,7.97,1.843,70.44,10.36,8.8,8.8,0.0,66.01,0.0,0.423002,0.06084,

736,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,28.52,0.612828,8.74,8.74,0.0,417.8,0.0,8.66,8.66,0.937393,403.6,73.9,7.98,7.98,0.64,462.1,26.09,8.3,8.3,0.0,448.6,0.0,0.396151,0.183102,
736,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,28.28,0.0,9.0,9.0,0.0,417.4,0.0,7.6,7.6,0.0,454.2,0.0,7.62,7.62,0.04,454.2,0.044874,7.6,7.6,0.0,454.2,0.0,0.366541,0.366541,
736,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,29.0,1.22,8.4,8.4,0.0,403.0,0.0,8.24,8.24,0.0,398.8,0.0,6.43,6.43,2.212,493.5,115.2,7.6,7.6,0.0,433.1,0.0,0.35935,0.053288,

737,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,30.33,1.08,7.81,7.81,0.0,405.2,0.0,7.9,7.9,2.346,415.4,120.5,7.37,7.37,1.94,486.5,54.82,6.4,6.4,0.0,495.7,0.0,0.550365,0.290082,
737,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,31.02,0.0,7.07,7.07,0.0,405.1,0.0,5.6,5.6,0.0,531.0,0.0,5.61,5.61,0.083267,531.0,0.086566,5.6,5.6,0.0,531.0,0.0,0.49731,0.49731,
737,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,31.41,2.44,6.5,6.5,0.0,392.8,0.0,6.4,6.4,0.0,386.1,0.0,5.19,5.19,1.02,509.0,84.52,5.7,5.7,0.0,522.0,0.0,0.477629,0.078561,

738,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,26.11,0.870101,11.47,11.47,0.0,70.67,0.0,11.39,11.39,1.519,69.71,22.98,11.22,11.22,2.681,83.63,7.638,9.9,9.9,0.0,86.19,0.0,0.621882,0.329651,
738,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,26.200000000000003,0.0,11.4,11.4,0.0,70.7,0.0,9.8,9.8,0.0,75.64,0.0,9.8,9.8,0.0,75.64,0.001746,9.8,9.8,0.0,75.64,0.0,0.629384,0.629384,
738,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,27.38,1.09,10.42,10.42,0.0,64.14,0.0,10.51,10.51,0.0,63.68,0.0,8.52,8.52,1.287,86.21,10.71,8.6,8.6,0.0,87.24,0.0,0.630182,0.061254,

739,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,28.27,0.713147,8.58,8.58,0.0,50.22,0.0,8.42,8.42,1.146,48.05,8.817,8.23,8.23,0.34,56.49,2.153,8.4,8.4,0.0,55.4,0.0,0.376003,0.183496,
739,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,28.240000000000002,0.0,8.63,8.63,0.0,50.23,0.0,7.8,7.8,0.0,59.02,0.0,7.83,7.83,0.061101,59.02,0.004524,7.8,7.8,0.0,59.02,0.0,0.326893,0.326893,
739,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,28.85,1.22,7.79,7.79,0.0,47.1,0.0,7.66,7.66,0.0,47.09,0.0,7.55,7.55,2.1,62.85,16.54,8.6,8.6,0.0,62.5,0.0,0.343728,0.053773,

740,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,27.65,0.686551,7.72,7.72,0.0,259.4,0.0,7.35,7.35,1.222,264.1,53.73,7.55,7.55,2.042,310.4,157.5,8.7,8.7,0.0,246.8,0.0,0.320165,0.203446,
740,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,27.5,0.0,7.95,7.95,0.0,260.3,0.0,7.4,7.4,0.0,288.8,0.0,7.4,7.4,0.0,288.8,0.023865,7.4,7.4,0.0,288.8,0.0,0.436734,0.436734,
740,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,28.13,1.15,7.04,7.04,0.0,252.3,0.0,7.02,7.02,0.0,251.6,0.0,6.6,6.6,1.361,297.4,24.07,7.3,7.3,0.0,284.6,0.0,0.440381,0.050678,

741,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,27.71,0.567246,8.34,8.34,0.0,85.88,0.0,8.26,8.26,0.915457,83.39,12.27,8.09,8.09,0.62,93.42,6.017,8.4,8.4,0.0,90.35,0.0,0.33111,0.14714,
741,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,27.52,0.0,8.64,8.64,0.0,86.1,0.0,7.6,7.6,0.0,93.86,0.0,7.61,7.61,0.083267,93.86,0.009754,7.6,7.6,0.0,93.86,0.0,0.301526,0.301526,
741,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,28.0,1.15,7.98,7.98,0.0,77.63,0.0,7.97,7.97,0.0,77.07,0.0,7.27,7.27,1.701,100.1,26.77,8.1,8.1,0.0,94.72,0.0,0.298767,0.055904,

742,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,29.68,0.575402,10.59,10.59,0.0,426.4,0.0,10.41,10.41,10.83,419.9,67.95,9.85,9.85,0.266333,510.0,10.45,10.0,10.0,0.0,505.0,0.0,0.335796,0.161824,
742,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,29.58,0.0,10.71,10.71,0.0,426.1,0.0,9.7,9.7,0.0,521.0,0.0,9.65,9.65,0.083267,521.0,0.012257,9.7,9.7,0.0,521.0,0.0,0.286707,0.286707,
742,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,30.17,1.78,10.03,10.03,0.0,418.8,0.0,10.01,10.01,0.0,398.5,0.0,9.2,9.2,2.241,534.0,24.65,10.3,10.3,0.0,532.0,0.0,0.271921,0.059431,

743,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,29.24,0.522285,9.71,9.71,0.0,341.7,0.0,9.59,9.59,0.784857,336.7,58.34,9.16,9.16,0.32,381.9,10.62,9.0,9.0,0.0,386.6,0.0,0.374625,0.17327,
743,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,29.48,0.0,9.45,9.45,0.0,341.9,0.0,8.5,8.5,0.0,383.4,0.0,8.52,8.52,0.04,383.4,0.03398,8.5,8.5,0.0,383.4,0.0,0.360452,0.360452,
743,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,30.39,1.37,8.8,8.8,0.0,327.2,0.0,8.69,8.69,0.0,313.7,0.0,8.38,8.38,1.795,398.0,61.93,9.2,9.2,0.0,363.9,0.0,0.363545,0.06683,

744,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,30.08,0.338971,8.76,8.76,0.0,281.8,0.0,8.6,8.6,0.512292,287.2,29.82,8.42,8.42,0.36,318.2,27.19,8.6,8.6,0.0,304.6,0.0,0.201373,0.10383,
744,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,29.86,0.0,9.06,9.06,0.0,282.0,0.0,8.3,8.3,0.0,324.1,0.0,8.27,8.27,0.061101,324.1,0.017789,8.3,8.3,0.0,324.1,0.0,0.214005,0.214005,
744,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,30.57,1.37,8.04,8.04,0.0,274.7,0.0,7.91,7.91,0.0,265.4,0.0,7.7,7.7,1.544,324.9,20.7,8.5,8.5,0.0,314.1,0.0,0.169795,0.068416,

745,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,28.69,0.669585,9.93,9.93,0.0,359.6,0.0,9.76,9.76,1.106,347.1,49.32,9.51,9.51,1.58,442.6,134.5,9.0,9.0,0.0,448.5,0.0,0.24744,0.142092,
745,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,29.22,0.0,9.28,9.28,0.0,360.7,0.0,8.7,8.7,0.0,435.1,0.0,8.68,8.68,0.04,435.2,0.229041,8.7,8.7,0.0,435.1,0.0,0.251129,0.251129,
745,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,29.77,1.29,8.7,8.7,0.0,353.3,0.0,8.54,8.54,0.0,341.8,0.0,8.03,8.03,0.74,452.3,62.09,8.4,8.4,0.0,433.7,0.0,0.268668,0.049215,

746,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,29.1,1.354,9.45,9.45,0.0,104.5,0.0,9.26,9.26,2.226,101.4,35.53,9.6,9.6,1.2,121.2,7.849,10.2,10.2,0.0,123.2,0.0,0.650609,0.350394,
746,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,28.58,0.0,10.38,10.38,0.0,104.0,0.0,9.8,9.8,0.0,120.8,0.0,9.75,9.75,0.083267,120.8,0.016608,9.8,9.8,0.0,120.8,0.0,0.636944,0.636944,
746,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,30.76,1.37,6.96,6.96,0.0,94.91,0.0,6.79,6.79,0.0,92.93,0.0,6.91,6.91,3.722,128.6,38.99,9.0,9.0,0.0,140.2,0.0,0.553774,0.06555,

747,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,28.59,0.458239,10.27,10.27,0.0,378.9,0.0,10.11,10.11,0.60907,365.7,47.09,9.81,9.81,0.22,433.1,9.434,9.7,9.7,0.0,437.8,0.0,0.278032,0.128767,
747,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,28.62,0.0,10.23,10.23,0.0,379.0,0.0,9.7,9.7,0.0,429.2,0.0,9.71,9.71,0.083267,429.2,0.027184,9.7,9.7,0.0,429.2,0.0,0.242593,0.242593,
747,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,29.5,1.29,9.45,9.45,0.0,365.9,0.0,9.32,9.32,0.0,352.4,0.0,8.8,8.8,0.2,437.1,48.35,8.9,8.9,0.0,416.6,0.0,0.296191,0.058677,

748,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,29.56,0.618892,6.07,6.07,0.0,284.2,0.0,6.03,6.03,1.311,273.2,40.36,5.77,5.77,0.42395,323.3,13.6,6.0,6.0,0.0,316.4,0.0,0.32123,0.147731,
748,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,29.380000000000003,0.0,6.33,6.33,0.0,283.9,0.0,5.3,5.3,0.0,331.9,0.0,5.32,5.32,0.04,332.0,0.049188,5.3,5.3,0.0,331.9,0.0,0.253869,0.253869,
748,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,30.96,1.89,4.24,4.24,0.0,264.5,0.0,4.08,4.08,0.0,268.7,0.0,3.87,3.87,3.62,367.3,143.8,5.7,5.7,0.0,329.4,0.0,0.326552,0.066409,

749,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,28.41,0.70775,10.61,10.61,0.0,141.2,0.0,10.47,10.47,1.013,137.0,29.6,10.09,10.09,0.78,165.3,12.12,9.7,9.7,0.0,171.3,0.0,0.42697,0.216058,
749,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,28.78,0.0,10.24,10.24,0.0,141.5,0.0,9.3,9.3,0.0,165.7,0.0,9.29,9.29,0.083267,165.7,0.033322,9.3,9.3,0.0,165.7,0.0,0.410861,0.410861,
749,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,28.91,1.22,10.14,10.14,0.0,140.1,0.0,10.04,10.04,0.0,136.0,0.0,8.79,8.79,0.936162,168.2,36.79,9.3,9.3,0.0,161.3,0.0,0.44906,0.051819,

750,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,28.91,0.533333,11.48,11.48,0.0,421.1,0.0,11.41,11.41,1.09,410.2,86.24,10.86,10.86,1.534,516.0,124.4,10.0,10.0,0.0,525.0,0.0,0.379607,0.210239,
750,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,29.16,0.0,11.19,11.19,0.0,422.3,0.0,10.5,10.5,0.0,480.7,0.0,10.51,10.51,0.061101,481.0,0.554176,10.5,10.5,0.0,480.7,0.0,0.448834,0.448834,
750,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,30.55,1.37,9.89,9.89,0.0,412.8,0.0,9.91,9.91,0.0,394.3,0.0,8.65,8.65,0.1,517.0,76.13,8.6,8.6,0.0,478.3,0.0,0.350216,0.055209,

751,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,28.82,0.424868,8.36,8.36,0.0,564.0,0.0,8.26,8.26,0.698726,542.0,75.83,7.15,7.15,1.062,701.0,17.34,6.6,6.6,0.0,706.0,0.0,0.250521,0.139908,
751,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,29.240000000000002,0.0,7.78,7.78,0.0,564.0,0.0,6.4,6.4,0.0,718.0,0.0,6.43,6.43,0.061101,718.0,0.226,6.4,6.4,0.0,718.0,0.0,0.227742,0.227742,
751,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,29.87,1.29,7.17,7.17,0.0,529.0,0.0,6.95,6.95,0.0,525.0,0.0,6.03,6.03,1.94,722.0,238.5,7.0,7.0,0.0,642.0,0.0,0.29879,0.062293,

752,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,28.53,0.810077,7.71,7.71,0.0,42.63,0.0,7.49,7.49,1.464,43.64,9.635,7.1,7.1,0.670025,57.92,18.32,7.4,7.4,0.0,53.96,0.0,0.305553,0.220784,
752,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,28.14,0.0,8.21,8.21,0.0,42.65,0.0,7.4,7.4,0.0,52.36,0.0,7.39,7.39,0.061101,52.36,0.006446,7.4,7.4,0.0,52.36,0.0,0.448894,0.448894,
752,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,28.99,1.68,7.15,7.15,0.0,42.49,0.0,7.01,7.01,0.0,42.77,0.0,6.41,6.41,1.78,56.69,3.685,7.3,7.3,0.0,55.46,0.0,0.382693,0.074274,

753,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,30.54,0.45734,9.74,9.74,0.0,543.0,0.0,9.77,9.77,0.667451,565.0,69.66,9.06,9.06,0.763151,653.0,91.61,8.7,8.7,0.0,625.0,0.0,0.215101,0.123292,
753,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,30.54,0.0,9.74,9.74,0.0,543.0,0.0,8.6,8.6,0.0,635.0,0.0,8.59,8.59,0.061101,635.0,0.020215,8.6,8.6,0.0,635.0,0.0,0.29245,0.29245,
753,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,30.9,1.37,9.29,9.29,0.0,516.0,0.0,9.28,9.28,0.0,495.3,0.0,8.13,8.13,0.305505,683.0,94.3,8.3,8.3,0.0,563.0,0.0,0.214403,0.057548,

754,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,28.3,0.511244,12.12,12.12,0.0,297.1,0.0,11.99,11.99,1.041,292.0,43.87,11.63,11.63,0.757188,341.0,78.2,11.2,11.2,0.0,338.1,0.0,0.285905,0.15024,
754,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,28.58,0.0,11.77,11.77,0.0,298.3,0.0,10.5,10.5,0.0,338.3,0.0,10.45,10.45,0.083267,338.3,0.026449,10.5,10.5,0.0,338.3,0.0,0.294088,0.294088,
754,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,29.51,1.29,10.81,10.81,0.0,292.8,0.0,10.79,10.79,0.0,279.0,0.0,9.96,9.96,0.630661,347.3,35.86,10.3,10.3,0.0,331.0,0.0,0.272938,0.062365,

755,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,28.88,0.446486,9.61,9.61,0.0,404.4,0.0,9.5,9.5,0.740083,392.9,59.74,8.89,8.89,0.543078,473.0,13.89,8.6,8.6,0.0,477.9,0.0,0.335028,0.152049,
755,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,29.14,0.0,9.29,9.29,0.0,404.6,0.0,8.1,8.1,0.0,478.8,0.0,8.13,8.13,0.061101,478.7,0.200482,8.1,8.1,0.0,478.8,0.0,0.299626,0.299626,
755,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,29.98,1.29,8.67,8.67,0.0,380.7,0.0,8.51,8.51,0.0,367.0,0.0,7.59,7.59,0.197315,480.1,90.46,7.7,7.7,0.0,434.7,0.0,0.282055,0.059946,

756,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,28.28,0.522333,10.3,10.3,0.0,278.8,0.0,10.57,10.57,0.991235,251.9,56.55,9.95,9.95,0.083267,310.7,36.74,10.0,10.0,0.0,334.4,0.0,0.409824,0.224494,
756,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,28.240000000000002,0.0,10.36,10.36,0.0,278.6,0.0,9.6,9.6,0.0,314.4,0.0,9.63,9.63,0.061101,314.4,0.029001,9.6,9.6,0.0,314.4,0.0,0.505901,0.505901,
756,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,29.4,0.84,9.17,9.17,0.0,255.1,0.0,9.03,9.03,0.0,247.2,0.0,9.57,9.57,1.89,260.5,40.04,8.5,8.5,0.0,273.8,0.0,0.518532,0.044017,

757,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,29.04,0.716301,7.55,7.55,0.0,528.0,0.0,7.38,7.38,1.661,524.0,98.76,6.99,6.99,0.582866,590.0,123.1,6.9,6.9,0.0,541.0,0.0,0.350302,0.188473,
757,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,29.240000000000002,0.0,7.28,7.28,0.0,528.0,0.0,6.7,6.7,0.0,578.0,0.0,6.69,6.69,0.061101,578.0,0.008265,6.7,6.7,0.0,578.0,0.0,0.370298,0.370298,
757,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,29.87,1.78,6.51,6.51,0.0,510.0,0.0,6.29,6.29,0.0,512.0,0.0,5.8,5.8,1.393,598.0,104.9,6.6,6.6,0.0,565.0,0.0,0.37046,0.068095,

758,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,29.28,0.848701,6.47,6.47,0.0,606.0,0.0,6.46,6.46,1.8,588.0,106.5,5.89,5.89,0.543078,692.0,37.14,5.6,5.6,0.0,710.0,0.0,0.379561,0.181122,
758,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,29.54,0.0,6.07,6.07,0.0,607.0,0.0,5.4,5.4,0.0,689.0,0.0,5.43,5.43,0.061101,688.0,0.010995,5.4,5.4,0.0,689.0,0.0,0.360121,0.360121,
758,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,30.65,1.37,4.47,4.47,0.0,576.0,0.0,4.31,4.31,0.0,588.0,0.0,4.05,4.05,2.007,720.0,191.5,5.0,5.0,0.0,678.0,0.0,0.399962,0.051597,

759,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,28.14,0.32165,12.33,12.33,0.0,206.6,0.0,12.22,12.22,0.652358,203.3,18.78,12.06,12.06,0.08,222.4,2.827,12.1,12.1,0.0,221.0,0.0,0.212561,0.092376,
759,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,28.08,0.0,12.41,12.41,0.0,206.3,0.0,11.9,11.9,0.0,222.4,0.0,11.85,11.85,0.083267,222.4,0.009963,11.9,11.9,0.0,222.4,0.0,0.193778,0.193778,
759,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,28.71,1.22,11.69,11.69,0.0,203.6,0.0,11.67,11.67,0.0,197.0,0.0,11.29,11.29,1.53,237.5,30.06,12.0,12.0,0.0,225.6,0.0,0.222468,0.060312,

760,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,28.57,1.351,9.29,9.29,0.0,44.88,0.0,9.22,9.22,1.827,42.11,15.09,8.2,8.2,2.073,72.64,18.97,7.1,7.1,0.0,76.28,0.0,0.428684,0.358347,
760,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,29.52,0.0,8.43,8.43,0.0,45.34,0.0,7.1,7.1,0.0,62.97,0.0,7.11,7.11,0.083267,62.96,0.008645,7.1,7.1,0.0,62.97,0.0,0.578408,0.578408,
760,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,32.17,2.01,6.17,6.17,0.0,41.23,0.0,6.15,6.15,0.0,41.07,0.0,5.41,5.41,3.069,66.72,12.16,6.5,6.5,0.0,62.42,0.0,0.573622,0.076861,

761,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,27.57,1.467,15.28,15.28,0.0,145.6,0.0,15.290000000000001,15.290000000000001,2.958,145.6,41.95,15.3,15.3,0.070238,145.6,0.00551,15.3,15.3,0.0,145.6,0.0,0.668073,0.288118,
761,CCA1:Stem (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,27.68,0.0,15.1,15.1,0.0,145.8,0.0,14.3,14.3,0.0,162.2,0.0,14.32,14.32,0.04,162.2,0.003168,14.3,14.3,0.0,162.2,0.0,0.605275,0.605275,
761,CCA1:Stem (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,28.71,2.04,13.22,13.22,0.0,143.8,0.0,13.27,13.27,0.0,139.5,0.0,11.79,11.79,1.462,160.5,13.09,12.6,12.6,0.0,154.2,0.0,0.614854,0.083907,

762,CCA1:Stem (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,29.85,0.504944,9.74,9.74,0.0,659.0,0.0,9.54,9.54,0.823084,650.0,113.2,8.55,8.55,0.1,785.0,5.56,8.5,8.5,0.0,782.0,0.0,0.314618,0.174154,
